User_ID;Respected;Confident;Spontaneous;Dependent;Vigilant;Avoidant;Brooding;Intuitive;Anxious;Respected%;Confident%;Spontaneous%;Dependent%;Vigilant%;Avoidant%;Brooding%;Intuitive%;Anxious%;ds_1;ds_2;ds_3;ds_4;ds4R;ds_5;ds_6;ds_7;ds_8;ds8R;ds_9;ds_10;ds_11;ds_12;ds_13;ds_14;ds_15;ds_16;ds_17;ds_18;ds_19;ds_20;ds20R;ds_21;ds_22;ds_23;ds_24;ds_25;ds_26;ds_27;ds_28;ds_29;ds_30;ds_31;ds_32;ds_33;ds_34;ds_35;ds_36;ds_37;ds_38;ds_39;ds_40;ds_41;ds_42;ds_43
Part1;8;15;4;27;27;15;14;17;16;80;60;20;90;90;60;56;68;64;1;5;4;4;2;4;3;5;2;4;3;4;4;3;5;4;2;3;4;2;4;1;5;3;3;5;3;1;3;3;1;5;3;3;1;2;3;4;3;4;4;4;3;4;4;3
Part2;4;20;8;19;26;12;15;14;8;40;80;40;63,3333333333333;86,6666666666667;48;60;56;32;2;5;3;2;4;4;4;5;2;4;2;2;4;2;4;;2;4;4;2;4;2;4;2;3;4;2;3;1;4;2;4;2;4;1;3;2;2;3;4;2;4;3;3;1;2
Part3;8;13;8;25;26;18;18;14;19;80;52;40;83,3333333333333;86,6666666666667;72;72;56;76;2;5;5;3;3;5;2;5;4;2;5;4;3;4;4;4;3;4;4;4;4;2;4;3;3;4;4;2;4;2;2;4;3;4;2;3;3;2;4;4;4;4;2;4;3;3
Part4;7;16;7;21;30;17;17;18;23;70;64;35;70;100;68;68;72;92;2;5;4;4;2;3;3;5;2;4;4;4;4;3;5;3;2;4;5;4;5;3;3;4;4;4;5;2;4;3;2;4;3;4;1;2;5;4;3;5;3;4;4;4;5;3
Part5;6;18;6;29;28;20;16;20;19;60;72;30;96,6666666666667;93,3333333333333;80;64;80;76;1;5;5;4;2;5;4;5;3;3;4;3;4;4;5;5;2;5;5;3;5;2;4;5;4;5;4;2;3;4;1;5;3;5;2;2;4;4;4;3;3;3;4;5;4;4
Part6;5;20;12;22;24;10;15;18;18;50;80;60;73,3333333333333;80;40;60;72;72;3;3;2;3;3;3;4;4;1;5;4;2;4;1;3;3;2;4;5;4;5;2;4;2;3;3;2;4;4;4;3;5;3;4;2;2;3;4;4;4;3;2;3;4;5;3
Part7;8;23;13;19;15;8;7;23;9;80;92;65;63,3333333333333;50;32;28;92;36;3;2;2;1;5;3;4;2;1;5;2;4;4;2;3;3;1;5;2;1;2;4;2;2;1;3;2;4;1;4;3;4;1;1;3;1;2;5;4;4;4;3;5;4;2;5
Part8;6;21;9;24;28;13;16;12;12;60;84;45;80;93,3333333333333;52;64;48;48;2;5;3;1;5;3;4;5;2;4;2;3;4;2;5;4;2;4;5;3;4;2;4;3;3;4;2;3;2;4;2;5;3;4;2;2;2;2;2;4;3;4;2;4;4;2
Part9;7;20;12;20;24;13;16;18;13;70;80;60;66,6666666666667;80;52;64;72;52;3;4;3;2;4;4;4;4;2;4;3;3;4;3;4;3;2;4;4;4;4;3;3;3;2;3;2;4;3;4;3;4;2;3;2;3;2;4;4;4;4;4;3;3;3;3
Part10;4;10;16;29;24;11;20;16;20;40;40;80;96,6666666666667;80;44;80;64;80;4;4;3;4;2;5;2;5;4;2;5;2;4;2;4;5;2;2;4;4;4;2;4;2;2;5;4;4;4;2;4;5;4;4;4;4;4;3;3;3;2;4;3;5;3;3
