User_ID;T1_A;T1_B;T2_A;T2_B;T3_A;T3_B;T4_A;T4_B;T5_A;T5_B;T6_A;T6_B;T7_A;T7_B;T8_A;T8_B;A;B
01;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4,75;4,75
02;5;4;5;5;5;5;5;5;5;5;4;5;5;5;5;4;4,875;4,75
03;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
04;5;5;5;5;5;4;4;4;4;5;3;4;4;5;5;5;4,375;4,625
05;5;5;5;5;5;5;5;5;4;5;5;4;5;4;5;5;4,875;4,75
06;5;4;4;5;5;5;5;5;5;5;5;5;3;4;5;5;4,625;4,75
07;5;5;5;5;5;5;5;5;4;4;4;4;4;5;4;5;4,5;4,75
08;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4,875
09;4;5;5;5;5;5;4;4;5;4;4;4;5;5;5;4;4,625;4,5
10;5;4;4;4;4;4;4;5;3;4;3;3;4;4;4;3;3,875;3,875
11;4;4;5;5;4;4;4;5;4;3;4;3;4;4;4;4;4,125;4
12;5;5;5;5;5;5;5;5;4;4;3;5;5;4;5;5;4,625;4,75
14;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;4,75;4,875
15;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4,875
16;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4,875
17;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;5;4,75;5
18;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;4,875;4,875
20;5;4;5;5;5;5;5;5;4;5;5;5;4;4;5;5;4,75;4,75
21;5;5;5;5;5;5;5;5;4;4;4;4;3;5;4;5;4,375;4,75
22;5;5;5;4;5;5;5;5;5;5;3;4;4;4;5;5;4,625;4,625
23;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;4,625;4,75
24;5;5;4;5;5;5;5;5;5;4;4;3;4;3;4;4;4,5;4,25
25;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;4,875;4,875
26;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;4,875;5
27;5;5;5;5;5;5;5;5;4;4;4;2;4;4;4;4;4,5;4,25
28;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;4,75;4,875
29;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;4,75;4,75
30;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4,875
31;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4,875;5
32;5;5;5;5;5;5;5;5;5;5;4;3;5;5;5;5;4,875;4,75
33;4;5;5;5;5;5;5;3;5;4;4;4;3;5;4;5;4,375;4,5
34;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4,875
35;5;5;5;5;5;5;4;5;5;4;4;3;5;5;4;5;4,625;4,625
36;5;5;5;5;5;5;5;5;4;5;4;5;3;4;4;4;4,375;4,75
37;5;5;5;5;5;5;5;5;5;5;5;4;4;5;3;5;4,625;4,875
38;2;4;5;4;5;5;5;5;5;5;4;3;5;4;5;5;4,5;4,375
39;5;5;5;5;5;5;4;5;4;4;4;4;4;4;5;5;4,5;4,625
40;5;5;5;5;4;5;5;5;4;4;5;4;3;3;5;4;4,5;4,375
41;4;5;5;5;4;5;4;5;4;4;5;5;4;5;5;3;4,375;4,625
42;5;5;5;5;5;5;5;5;5;5;4;3;5;5;5;5;4,875;4,75
