User_ID;T1_A;T1_B;T2_A;T2_B;T3_A;T3_B;T4_A;T4_B;T5_A;T5_B;T6_A;T6_B;T7_A;T7_B;T8_A;T8_B;;popr_A;popr_B
01;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;11;62,5;75
02;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;13;87,5;75
03;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;14;75;100
04;1;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;9;50;62,5
05;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;100
06;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;14;100;75
07;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;14;87,5;87,5
08;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;15;87,5;100
09;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;6;25;50
10;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;14;75;100
11;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;14;100;75
12;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;14;75;100
14;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;14;87,5;87,5
15;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;14;75;100
16;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;15;100;87,5
17;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;0;9;62,5;50
18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;100
20;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;10;75;50
21;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;15;100;87,5
22;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;14;75;100
23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;100
24;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;14;100;75
25;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;12;75;75
26;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;11;62,5;75
27;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;9;62,5;50
28;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;1;13;87,5;75
29;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;10;62,5;62,5
30;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;13;75;87,5
31;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;12;75;75
32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;100
33;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;12;87,5;62,5
34;0;1;1;1;1;0;1;0;1;1;1;0;1;1;0;1;11;75;62,5
35;1;1;1;1;0;0;1;0;1;1;0;1;1;1;0;0;10;62,5;62,5
36;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;14;87,5;87,5
37;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;13;87,5;75
38;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;6;37,5;37,5
39;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;15;87,5;100
40;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;13;75;87,5
41;1;1;1;1;1;0;0;1;0;1;0;0;0;0;1;0;8;50;50
42;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;100
